prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
new,agesex,Ank spond,pu_l04ab,-0.067881700573675,-0.066047,0.07289478701454627,0.07256326245,-0.1912768,0.05109461499999993
orig,agesex,Ank spond,pu_l04ab,-0.06765136320245,-0.0652274,0.07214494045811064,0.07036842140999999,-0.1920975,0.04869673999999977
new,agesex,Ank spond,pu_l04ab,-0.023691624963075,-0.024192400000000003,0.03513656508381785,0.03467126817,-0.08090066,0.03433566499999996
orig,agesex,Ank spond,pu_l04ab,-0.0231118609267175,-0.022647800000000003,0.03338901855259196,0.0325974947634,-0.07831959499999999,0.03245321499999995
new,agesex,Ank spond,pu_l04ab,-0.06614337876245,-0.06640575,0.06328179548938005,0.06575279109,-0.1695564,0.03627381999999998
orig,agesex,Ank spond,pu_l04ab,-0.064767965973575,-0.06521765,0.06208248604393645,0.06486745649999999,-0.16566045,0.034769734999999954
new,agesex,Asthma,pu_R03BA,-0.564122189293025,-0.5706265,0.4684071073876902,0.46170610289999997,-1.321869,0.2360982999999997
orig,agesex,Asthma,pu_R03BA,-0.4917976563096,-0.494577,0.448486947092238,0.4427414249999999,-1.2250565,0.24063009999999962
new,agesex,Asthma,pu_R03BA,0.07323337107325,0.07145715,0.2567098765074184,0.25834431021,-0.34537855,0.49698524999999977
orig,agesex,Asthma,pu_R03BA,0.11848207849575,0.1202415,0.25040903414539495,0.24659270369999997,-0.2957513,0.5263576999999995
new,agesex,Asthma,pu_R03BA,-0.497592142944375,-0.49011550000000004,0.6140555353857933,0.6137765331599999,-1.5105324999999998,0.5143571999999997
orig,agesex,Asthma,pu_R03BA,-0.41620506421175,-0.41458700000000004,0.5200735282676547,0.49188983739,-1.28468,0.43132849999999884
new,agesex,BPH,pu_g04be,-0.599858514992,-0.58921,0.23101384695202815,0.1839454406999999,-0.9849262,-0.2553549500000002
orig,agesex,BPH,pu_g04be,-0.5713583138275,-0.5700545,0.2017181168759955,0.1728622644,-0.90446305,-0.25466215000000014
new,agesex,BPH,pu_g04be,-0.034269982067825,-0.035389500000000004,0.2371583506120492,0.2052281637,-0.41379815000000003,0.3647352999999999
orig,agesex,BPH,pu_g04be,-0.0437994721591825,-0.03873435,0.23652670066218617,0.20418997304999997,-0.40899694999999997,0.3330246499999999
new,agesex,CIU,pu_r03dx,-1.21055334725,-1.207065,0.20510239797817886,0.20204872799999993,-1.535999,-0.8607905
orig,agesex,CIU,pu_r03dx,-1.169413644,-1.16953,0.19374649184388917,0.19453935899999994,-1.493364,-0.85485405
new,agesex,CIU,pu_r03dx,0.068144109307075,0.0649748,0.1286814874976715,0.13033343862,-0.1373203,0.28314859999999986
